DATE,PIEAMP01USQ661N
1960-01-01,17.1976827449924
1960-04-01,17.2494310608102
1960-07-01,17.301179376628
1960-10-01,17.4219254468697
1961-01-01,17.4219254468697
1961-04-01,17.1976827449924
1961-07-01,17.2494310608102
1961-10-01,17.2666804994162
1962-01-01,17.3701771310518
1962-04-01,17.2494310608102
1962-07-01,17.3701771310518
1962-10-01,17.3701771310518
1963-01-01,17.2839299380221
1963-04-01,17.2321816222043
1963-07-01,17.301179376628
1963-10-01,17.318428815234
1964-01-01,17.3356782538399
1964-04-01,17.301179376628
1964-07-01,17.3874265696578
1964-10-01,17.3874265696578
1965-01-01,17.4391748854756
1965-04-01,17.611669091889
1965-07-01,17.7151653642325
1965-10-01,17.870410311686
1966-01-01,18.0774035749573
1966-04-01,18.1119024521692
1966-07-01,18.3188957154406
1966-10-01,18.3533945926525
1967-01-01,18.3188957154406
1967-04-01,18.3361451540465
1967-07-01,18.508639540106
1967-10-01,18.5603878559238
1968-01-01,18.7501316805892
1968-04-01,18.8881268301446
1968-07-01,19.043371597952
1968-10-01,19.1641176681937
1969-01-01,19.3366120542531
1969-04-01,19.5436053175245
1969-07-01,19.7505985807958
1969-10-01,20.0093398005928
1970-01-01,20.25083176143
1970-04-01,20.233582322824
1970-07-01,20.3543283930657
1970-10-01,20.5095733405192
1971-01-01,20.7855643582143
1971-04-01,20.9408093056678
1971-07-01,21.0270564986976
1971-10-01,21.0960542531214
1972-01-01,21.3892941704841
1972-04-01,21.4755413635139
1972-07-01,21.751532381209
1972-10-01,21.8550290128447
1973-01-01,22.6312533908201
1973-04-01,23.3039813168059
1973-07-01,24.0284573789634
1973-10-01,24.3906954100422
1974-01-01,25.7189016437618
1974-04-01,26.4088786490614
1974-07-01,27.719835444175
1974-10-01,28.9445450462589
1975-01-01,29.3585315728016
1975-04-01,29.7207696038804
1975-07-01,30.4452456660379
1975-10-01,31.0144766010958
1976-01-01,31.0317260397018
1976-04-01,31.273218180185
1976-07-01,31.4629620048504
1976-10-01,32.0321932992006
1977-01-01,32.6704221683284
1977-04-01,33.3603993532741
1977-07-01,33.6881385071409
1977-10-01,34.2746194197431
1978-01-01,34.9300975478308
1978-04-01,35.8443174346537
1978-07-01,36.4480476062158
1978-10-01,37.2932695589688
1979-01-01,38.5352287793048
1979-04-01,39.5011968022995
1979-07-01,40.4844144435462
1979-10-01,42.036863199497
1980-01-01,43.7618063415072
1980-04-01,44.9002687505614
1980-07-01,46.228474984281
1980-10-01,47.2634407616995
1981-01-01,48.5743975568131
1981-04-01,49.7128599658672
1981-07-01,50.0750981765921
1981-10-01,50.6960774274679
1982-01-01,51.1963111470403
1982-04-01,51.3170570376359
1982-07-01,51.9552859067637
1982-10-01,52.507267942154
1983-01-01,52.3347735560945
1983-04-01,52.4037713105183
1983-07-01,52.6797621485673
1983-10-01,52.9557528069703
1984-01-01,53.5767325967843
1984-04-01,53.68022922842
1984-07-01,53.68022922842
1984-10-01,53.8354741758735
1985-01-01,53.8872224916914
1985-04-01,54.1632131500943
1985-07-01,53.9907187640349
1985-10-01,54.5944489355969
1986-01-01,53.8040061079673
1986-04-01,52.8698464025869
1986-07-01,52.5464834276475
1986-10-01,52.9596694511812
1987-01-01,53.5525015719033
1987-04-01,54.1992275217821
1987-07-01,54.6483427647534
1987-10-01,55.0255995688494
1988-01-01,55.2950687146322
1988-04-01,55.9777238839486
1988-07-01,56.6064852241085
1988-10-01,57.1454235156741
1989-01-01,58.1873708793676
1989-04-01,59.2113536333423
1989-07-01,59.1754244139046
1989-10-01,59.750291924908
1990-01-01,60.5766639719752
1990-04-01,60.8640977274769
1990-07-01,61.7982574328573
1990-10-01,63.5048953561484
1991-01-01,62.5887002604868
1991-04-01,62.2653372855475
1991-07-01,62.3012665049852
1991-10-01,62.6785233090811
1992-01-01,62.6246294799246
1992-04-01,63.307284649241
1992-07-01,63.4150723075541
1992-10-01,63.6665768436181
1993-01-01,64.0617982574329
1993-04-01,64.4929488906854
1993-07-01,64.0079044282763
1993-10-01,64.2234797449026
1994-01-01,64.4929488906854
1994-04-01,64.8342764753436
1994-07-01,65.3013563280338
1994-10-01,65.5887900835354
1995-01-01,66.3073744722896
1995-04-01,67.0079942513249
1995-07-01,67.0259588610438
1995-10-01,67.4571094942962
1996-01-01,67.8164016886733
1996-04-01,68.4990568579898
1996-07-01,68.6248091260217
1996-10-01,69.0200305398365
1997-01-01,68.9481721009611
1997-04-01,68.714632174616
1997-07-01,68.5529506871463
1997-10-01,68.6427737357406
1998-01-01,67.978083176143
1998-04-01,68.0499416150184
1998-07-01,67.9241893469864
1998-10-01,67.9960477858619
1999-01-01,67.978083176143
1999-04-01,68.7864906134914
1999-07-01,69.5230396119644
1999-10-01,70.2416240007186
2000-01-01,71.1218898769424
2000-04-01,71.8404742656966
2000-07-01,72.2356956795114
2000-10-01,72.5949878738884
2001-01-01,72.5949878738884
2001-04-01,73.2776430432049
2001-07-01,72.6848109224827
2001-10-01,71.4991466810384
2002-01-01,71.2296775352556
2002-04-01,72.0201203628851
2002-07-01,72.2716248989491
2002-10-01,72.6129524836073
2003-01-01,74.0141920416779
2003-04-01,73.3674660917992
2003-07-01,73.7447228958951
2003-10-01,74.3016257971796
2004-01-01,75.1818916734034
2004-04-01,76.8885295966945
2004-07-01,77.445432497979
2004-10-01,78.6131321297045
2005-01-01,79.4215395670529
2005-04-01,80.5892391987784
2005-07-01,82.0982664151621
2005-10-01,83.0144615108237
2006-01-01,83.104284559418
2006-04-01,85.3678253839935
2006-07-01,85.5115422617444
2006-10-01,84.2899488008623
2007-01-01,85.188179286805
2007-04-01,87.9726937932274
2007-07-01,88.3140213778856
2007-10-01,89.7152609359562
2008-01-01,91.8889787119375
2008-04-01,96.4160603610886
2008-07-01,99.0029641606036
2008-10-01,91.6734033953112
2009-01-01,88.2960567681667
2009-04-01,89.5356148387676
2009-07-01,90.7392436899308
2009-10-01,91.6913680050301
2010-01-01,93.2722536602892
2010-04-01,94.5118117308901
2010-07-01,94.404024072577
2010-10-01,96.0388035569927
2011-01-01,99.1107518189168
2011-04-01,102.97314290847
2011-07-01,103.098895176502
2011-10-01,102.470133836342
2012-01-01,103.745621126381
2012-04-01,104.194736369352
2012-07-01,104.212700979071
2012-10-01,104.104913320758
2013-01-01,104.607922392886
2013-04-01,104.536063954011
2013-07-01,104.715710051199
2013-10-01,104.122877930477
2014-01-01,105.200754513608
2014-04-01,106.332524925896
2014-07-01,106.278631096739
2014-10-01,103.583939638911
2015-01-01,99.9910176951406
2015-04-01,101.10482349771
2015-07-01,100.565885206144
2015-10-01,98.338273601006
2016-01-01,96.5957064582772
2016-04-01,98.0867690649421
2016-07-01,98.6077427467888
2016-10-01,98.949070331447
2017-01-01,100.332345279799
2017-04-01,101.050929668553
2017-07-01,101.553938740681
2017-10-01,102.883319859876
2018-01-01,104.212700979071
2018-04-01,106.242701877302
2018-07-01,107.069073924369
2018-10-01,106.709781729992
2019-01-01,105.470223659391
2019-04-01,106.943321656337
2019-07-01,105.9552681218
2019-10-01,105.901374292644
2020-01-01,104.913320758107
2020-04-01,101.535974130962
2020-07-01,103.835444174975
